uc010nxq.1,DDX11L1,28
uc009viu.3,WASH7P,63
uc009viw.2,WASH7P,56
uc001aak.3,FAM138F,70
uc001aal.1,OR4F5,321
uc021oeg.2,LOC729737,7
uc001aaq.2,DQ597235,0
uc001aar.2,DQ599768,1
uc009vjk.2,LOC100133331,3
uc021oei.1,LOC388312,6
uc010nxu.2,OR4F29,246
uc001aax.1,BC036251,1
uc021oej.1,JA429830,35
uc021oek.1,JA429831,35
uc021oel.1,JB137814,38
uc001abb.3,M37726,12
uc010nxv.2,OR4F29,239
uc009vjm.3,LOC100133331,8
uc001abi.2,DQ575786,1
uc001abj.3,DQ599872,2
uc010nxw.2,DQ575786,0
uc001abl.3,DQ599872,0
uc001abm.2,AK310751,2
uc001abo.3,LOC100288069,11
uc010nxx.2,LINC00115,1
uc001abp.2,LOC643837,1
uc001abt.4,FAM41C,84
uc001abu.1,AK056486,2
uc010nxy.1,LOC100130417,1
uc001abw.1,SAMD11,9
uc001abz.4,NOC2L,22
uc001aca.2,KLHL17,15
uc001acd.3,PLEKHN1,17
uc001ach.2,C1orf170,20
uc001aci.2,HES4,11
uc001acj.4,ISG15,15
uc001ack.2,AGRN,14
uc001acl.1,BC033949,2
uc021oen.1,RNF223,2
uc001acu.2,C1orf159,6
uc001acv.3,LOC254099,2
uc001acw.2,MIR200B,6
uc010nye.1,MIR200A,4
uc031pkr.1,JA715134,0
uc010nyf.1,MIR429,12
uc031pks.1,JA715143,11
uc001acx.1,AK128833,16
uc001acy.2,TTLL10,16
uc001add.3,TNFRSF18,5
uc001ade.3,TNFRSF4,4
uc001adh.4,SDF4,15
uc001adk.3,B3GALT6,3
uc001adl.2,FAM132A,8
uc001ado.3,UBE2J2,35
uc001adt.1,SCNN1D,12
uc001aeb.2,ACAP3,9
uc001aed.3,PUSL1,19
uc001aee.2,CPSF3L,18
uc001aeo.3,GLTPD1,20
uc010nyk.2,TAS1R3,10
uc001aer.4,DVL1,9
uc001aew.3,MXRA8,9
uc009vkb.1,AURKAIP1,27
uc001afi.2,CCNL2,30
uc001afm.3,LOC148413,26
uc001afo.4,MRPL20,46
uc010nyo.2,ANKRD65,1
uc010nyp.2,TMEM88B,2
uc001afs.3,VWA1,12
uc001aft.2,ATAD3C,19
uc001afv.3,ATAD3B,20
uc001afz.2,ATAD3A,18
uc009vkf.3,TMEM240,4
uc001agd.3,SSU72,27
uc021oer.1,HP08716,1
uc021oes.1,C1orf233,6
uc001agf.1,AK094692,1
uc001agg.3,MIB2,7
uc001agp.3,MMP23B,10
uc001agv.1,CDK11B,49
uc001ahc.1,CDC2L1,94
uc001ahg.4,SLC35E2B,37
uc001ahi.1,MMP23A,8
uc001ahx.2,AK097814,11
uc001aia.2,SLC35E2,40
uc001aie.3,NADK,20
uc001aif.3,GNB1,33
uc001aih.1,CALML6,17
uc001aij.2,TMEM52,21
uc001aik.3,C1orf222,12
uc001aim.1,KIAA1751,15
uc001aio.1,AK054708,1
uc001aip.2,GABRD,16
uc001aiq.3,PRKCZ,14
uc001aiu.1,AX747530,18
uc031pkt.1,C1orf86,15
uc001aiz.2,BC018779,2
uc001aja.4,SKI,14
uc001ajb.1,MORN1,14
uc001ajc.3,LOC100129534,17
uc010nyy.2,MORN1,20
uc001aje.2,RER1,27
uc001ajg.3,PEX10,10
uc001aji.1,PLCH2,17
uc001ajm.1,PANK4,17
uc001ajn.3,HES5,5
uc001ajo.2,LOC115110,1
uc021oev.1,LOC100133445,2
uc001ajt.1,TNFRSF14,16
uc001ajr.3,TNFRSF14,16
uc001ajv.2,FAM213B,16
uc001ajy.2,MMEL1,14
uc021oey.1,TTC34,3
uc001ajz.3,ACTRT2,37
uc001aka.3,FLJ42875,4
uc010nzg.1,FLJ42875,5
uc001akf.3,PRDM16,12
uc021oez.1,MIR4251,1
uc001akg.4,ARHGEF16,13
uc001akl.3,MEGF6,6
uc021ofa.1,MIR551A,0
uc001akm.3,TPRG1L,32
uc001ako.3,WRAP73,28
uc001akp.3,TP73,13
uc009vlm.3,TP73-AS1,11
uc001akv.2,CCDC27,27
uc001akw.4,SMIM1,1
uc001akx.1,LRRC47,17
uc001aky.2,CEP104,33
uc001alc.3,DFFB,30
uc001alf.3,C1orf174,33
uc001alg.3,LOC100133612,2
uc001ali.2,LOC728716,1
uc001alj.2,LOC284661,2
uc001aln.3,AJAP1,11
uc001alo.4,BC037321,1
uc001alp.1,AK125078,2
uc021ofm.1,MIR4417,0
uc021ofn.1,MIR4689,2
uc001alq.2,NPHP4,23
uc001aly.2,KCNAB2,15
uc001amb.2,CHD5,20
uc001amd.3,RPL22,30
uc001amg.3,RNF207,19
uc001amk.3,ICMT,31
uc001amm.3,C1orf211,2
uc009vly.2,HES3,9
uc001amp.2,GPR153,19
uc001amt.3,ACOT7,8
uc001amx.3,HES2,3
uc001amy.3,ESPN,12
uc021ofo.1,MIR4252,0
uc001anh.3,TNFRSF25,21
uc010nzr.1,PLEKHG5,20
uc001ans.3,NOL9,35
uc001ant.3,TAS1R1,29
uc001anx.3,ZBTB48,23
uc001aoa.3,KLHL21,16
uc001aob.4,PHF13,22
uc001aod.3,THAP3,22
uc001aof.2,DNAJC11,27
uc001aoi.3,CAMTA1,16
uc001aol.3,VAMP3,33
uc001aoo.3,PER3,37
