uc010nxq.1,DDX11L1,31
uc009viu.3,WASH7P,101
uc009viw.2,WASH7P,89
uc001aak.3,FAM138F,75
uc001aal.1,OR4F5,268
uc021oeg.2,LOC729737,9
uc001aaq.2,DQ597235,0
uc001aar.2,DQ599768,0
uc009vjk.2,LOC100133331,4
uc021oei.1,LOC388312,7
uc010nxu.2,OR4F29,149
uc001aax.1,BC036251,1
uc021oej.1,JA429830,35
uc021oek.1,JA429831,43
uc021oel.1,JB137814,49
uc001abb.3,M37726,5
uc010nxv.2,OR4F29,155
uc009vjm.3,LOC100133331,9
uc001abi.2,DQ575786,0
uc001abj.3,DQ599872,0
uc010nxw.2,DQ575786,0
uc001abl.3,DQ599872,0
uc001abm.2,AK310751,1
uc001abo.3,LOC100288069,9
uc010nxx.2,LINC00115,2
uc001abp.2,LOC643837,1
uc001abt.4,FAM41C,92
uc001abu.1,AK056486,1
uc010nxy.1,LOC100130417,1
uc001abw.1,SAMD11,18
uc001abz.4,NOC2L,29
uc001aca.2,KLHL17,21
uc001acd.3,PLEKHN1,23
uc001ach.2,C1orf170,24
uc001aci.2,HES4,7
uc001acj.4,ISG15,27
uc001ack.2,AGRN,17
uc001acl.1,BC033949,2
uc021oen.1,RNF223,1
uc001acu.2,C1orf159,9
uc001acv.3,LOC254099,1
uc001acw.2,MIR200B,8
uc010nye.1,MIR200A,4
uc031pkr.1,JA715134,4
uc010nyf.1,MIR429,13
uc031pks.1,JA715143,13
uc001acx.1,AK128833,22
uc001acy.2,TTLL10,23
uc001add.3,TNFRSF18,8
uc001ade.3,TNFRSF4,6
uc001adh.4,SDF4,23
uc001adk.3,B3GALT6,4
uc001adl.2,FAM132A,12
uc001ado.3,UBE2J2,43
uc001adt.1,SCNN1D,19
uc001aeb.2,ACAP3,13
uc001aed.3,PUSL1,24
uc001aee.2,CPSF3L,25
uc001aeo.3,GLTPD1,21
uc010nyk.2,TAS1R3,14
uc001aer.4,DVL1,14
uc001aew.3,MXRA8,11
uc009vkb.1,AURKAIP1,39
uc001afi.2,CCNL2,33
uc001afm.3,LOC148413,39
uc001afo.4,MRPL20,57
uc010nyo.2,ANKRD65,1
uc010nyp.2,TMEM88B,3
uc001afs.3,VWA1,19
uc001aft.2,ATAD3C,24
uc001afv.3,ATAD3B,27
uc001afz.2,ATAD3A,24
uc009vkf.3,TMEM240,13
uc001agd.3,SSU72,34
uc021oer.1,HP08716,0
uc021oes.1,C1orf233,6
uc001agf.1,AK094692,1
uc001agg.3,MIB2,9
uc001agp.3,MMP23B,15
uc001agv.1,CDK11B,50
uc001ahc.1,CDC2L1,82
uc001ahg.4,SLC35E2B,43
uc001ahi.1,MMP23A,12
uc001ahx.2,AK097814,17
uc001aia.2,SLC35E2,43
uc001aie.3,NADK,25
uc001aif.3,GNB1,33
uc001aih.1,CALML6,23
uc001aij.2,TMEM52,24
uc001aik.3,C1orf222,16
uc001aim.1,KIAA1751,22
uc001aio.1,AK054708,2
uc001aip.2,GABRD,21
uc001aiq.3,PRKCZ,18
uc001aiu.1,AX747530,24
uc031pkt.1,C1orf86,18
uc001aiz.2,BC018779,2
uc001aja.4,SKI,20
uc001ajb.1,MORN1,20
uc001ajc.3,LOC100129534,13
uc010nyy.2,MORN1,28
uc001aje.2,RER1,28
