0,uc003zey.3,TMED10P1,35
1,uc003zfb.4,ZNF252P-AS1,1
2,uc003zfc.4,C8orf33,49
3,uc011llp.1,DDX11L5,26
4,uc010mgm.1,WASH1,73
5,uc003zfv.3,FAM138C,91
6,uc003zfx.3,AY343892,4
7,uc003zfy.3,AY343902,1
8,uc003zfz.4,FOXD4,107
9,uc003zga.4,CBWD1,104
10,uc003zge.4,C9orf66,21
11,uc003zgf.2,DOCK8,63
12,uc003zgn.2,KANK1,66
13,uc003zgv.3,DMRT1,38
14,uc003zgw.2,DMRT3,64
15,uc022bcv.1,U6,0
16,uc003zha.3,DMRT2,94
17,uc003zhc.3,SMARCA2,56
18,uc003zhi.2,FLJ35024,1
19,uc003zhh.1,FLJ35024,1
20,uc003zhk.1,VLDLR,71
21,uc003zho.2,KCNV2,48
22,uc003zhp.1,KIAA0020,72
23,uc022bcx.1,Mir_548,0
24,uc003zhr.3,RFX3,59
25,uc003zhu.3,BC069756,0
26,uc003zhx.1,GLIS3,42
27,uc003zia.3,GLIS3-AS1,29
28,uc022bcy.1,Mir_320,74
29,uc003zij.2,SLC1A1,65
30,uc011llz.2,SPATA6L,44
31,uc003zin.4,PPAPDC2,46
32,uc003zio.3,CDC37L1,59
33,uc003ziq.2,AK3,51
34,uc003zis.2,RCL1,49
35,uc003ziu.1,MIR101-2,67
36,uc003ziw.3,JAK2,67
37,uc022bdb.1,TRNA_Gln,0
38,uc003zix.3,INSL6,87
39,uc003ziy.3,INSL4,49
40,uc003zja.2,RLN2,74
41,uc003zjb.2,RLN1,57
42,uc003zjc.3,PLGRKT,42
43,uc003zje.3,CD274,58
44,uc003zjg.4,PDCD1LG2,63
45,uc003zji.4,KIAA1432,81
46,uc003zjm.1,ERMP1,68
47,uc003zjo.1,MLANA,55
48,uc003zjq.4,KIAA2026,156
49,uc022bde.1,MIR4665,5
50,uc003zjr.3,RANBP6,141
51,uc003zjt.3,IL33,49
52,uc003zjw.3,TPD52L3,85
53,uc003zjy.3,UHRF2,58
54,uc003zkc.3,GLDC,64
55,uc003zkh.3,KDM4C,59
56,uc022bdg.1,DQ580140,94
57,uc022bdh.1,Mir_584,0
58,uc003zkj.3,C9orf123,27
59,uc003zkk.3,PTPRD,43
60,uc003zku.1,AK094342,1
61,uc022bdk.1,SNORD27,0
62,uc022bdl.1,Metazoa_SRP,0
63,uc022bdm.1,JB175300,0
64,uc003zkv.4,TYRP1,40
65,uc003zkw.3,LURAP1L,58
66,uc003zlb.4,MPDZ,68
67,uc003zlc.2,FLJ41200,1
68,uc022bdn.1,LINC00583,26
69,uc003zlf.3,NFIB,43
70,uc022bdq.1,TRNA,0
71,uc003zlg.2,ZDHHC21,40
72,uc003zlh.2,ZDHHC21,42
73,uc003zlj.3,CER1,45
74,uc003zlm.3,FREM1,73
75,uc003zln.1,AK127963,47
76,uc010mid.1,LOC389705,36
77,uc003zlo.1,AK021570,1
78,uc003zlr.2,TTC39B,38
79,uc003zlt.3,SNAPC3,56
80,uc003zlw.4,PSIP1,58
81,uc003zmd.3,CCDC171,45
82,uc003zmg.3,BC042022,1
83,uc031tcu.1,C9orf92,23
84,uc003zmh.1,BX648501,1
85,uc003zml.3,BNC2,41
86,uc003zmy.3,CNTLN,67
87,uc003zna.3,SH3GL2,51
88,uc003zne.4,ADAMTSL1,63
89,uc022bds.1,MIR3152,0
90,uc022bdt.1,7SK,0
91,uc003zni.2,FAM154A,53
92,uc003znj.3,RRAGA,73
93,uc003znk.4,HAUS6,63
94,uc003znn.1,SCARNA8,92
95,uc003zno.3,PLIN2,100
96,uc003znp.1,AK094196,1
97,uc022bdw.1,DQ572382,19
98,uc031tcw.1,DENND4C,85
99,uc003znv.1,RPS6,79
100,uc022bdx.1,TRNA_Met,2
101,uc003zny.1,ACER2,66
102,uc003zoa.2,SLC24A2,57
103,uc003zoe.2,MLLT3,45
104,uc022bdy.1,MIR4473,0
105,uc022bdz.1,U4,0
106,uc022bea.1,MIR4474,0
107,uc003zog.1,FOCAD,42
108,uc022beb.1,MIR491,46
109,uc022bec.1,SNORA30,16
110,uc010mir.1,PTPLAD2,41
111,uc003zok.3,IFNB1,88
112,uc003zol.1,IFNW1,65
113,uc003zom.2,IFNA21,130
114,uc003zon.2,IFNA4,115
115,uc003zop.1,IFNA7,133
116,uc003zoq.1,IFNA10,134
117,uc003zor.1,IFNA16,124
118,uc003zos.1,IFNA17,121
119,uc010mis.3,IFNA14,132
120,uc003zou.1,IFNA22P,75
121,uc011lnh.2,IFNA5,129
122,uc003zoy.3,KLHL9,99
123,uc011lni.2,IFNA6,127
124,uc003zpa.2,IFNA13,135
125,uc003zpb.3,IFNA2,100
126,uc003zpc.1,IFNA8,105
127,uc003zpd.2,IFNA1,125
128,uc003zpe.2,MIR31HG,57
129,uc003zpg.3,IFNE,83
130,uc011lnj.2,MIR31,68
131,uc003zph.3,MTAP,44
132,uc011lnm.3,C9orf53,0
133,uc003zpk.3,CDKN2A,0
134,uc003zpl.3,CDKN2A,0
135,uc022bem.1,CDKN2B-AS1,29
136,uc003zpo.3,CDKN2B,15
137,uc022bep.1,Mir_384,0
138,uc022beq.1,CDKN2B_AS,0
139,uc003zpp.1,DMRTA1,55
140,uc003zpq.1,FLJ35282,31
141,uc003zpr.3,CR627240,1
142,uc003zpu.3,ELAVL2,55
143,uc031tdf.1,Hel-N1,143
144,uc031tdg.1,IZUMO3,48
145,uc022ber.1,JA375049,0
146,uc022bes.1,JA374875,1
147,uc003zpx.3,TUSC1,3
148,uc003zpy.3,BC043546,1
149,uc022bet.1,JA374875,0
150,uc022beu.1,LOC100506422,37
151,uc003zpz.1,DQ598339,0
152,uc031tdh.1,DQ591605,0
153,uc003zqa.1,DQ574229,0
154,uc031tdi.1,DQ599043,0
155,uc031tdj.1,DQ586829,0
156,uc022bev.1,DQ571132,0
157,uc022bew.1,DQ582785,1
158,uc003zqc.3,CAAP1,42
159,uc003zqd.3,PLAA,52
